id,IDAbility,NormalizedId,PBGID,CivilizationAbbreviation,CivilizationSlug,CivilizationAttributeName,ObjectId,ObjectName,ObjectNameType,ObjectDescription,BaseId,Name,AttributeName,Description,AvaiableAgeId,Hitpoints,Food,Gold,Wood,Stone,AgeId,VizierPoint,OliveOil,Total,Supply,Armor,Weapon,Aoe4AnalyticsGameVersion,Aoe4ReplayApiVersion,Aoe4ReplayApiBuild,Aoe4WorldAppVersion,Aoe4WorldAppDataChecksum,Aoe4WorldMajorVersion,Aoe4WorldDataRepositoryGitCommitHash
1,0,,200770,ab,abbasid,abbasid,ability-camel-support-4,Camel Support,ability,Infantry gain armor when near a camel unit.,ability-camel-support,Camel Support,camel_support_aura_abb,Infantry gain armor when near a camel unit.,4,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
2,1,,202653,ab,abbasid,abbasid,ability-camel-unease-1,Camel Unease,ability,Camels cause enemy horse cavalry units to deal 20% less damage.,ability-camel-unease,Camel Unease,mamluke_anti_cavalry_aura_abb,Camels cause enemy horse cavalry units to deal 20% less damage.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
3,2,,192685,ab,abbasid,abbasid,ability-conversion-1,Conversion,ability,"Attempts to convert enemy units within range of this Monk to your control.
Cooldown: 120 Seconds.",ability-conversion,Conversion,monk_conversion,"Attempts to convert enemy units within range of this Monk to your control.
Cooldown: 120 Seconds.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
4,3,,2013822,ab,abbasid,abbasid,ability-detonate-1,Detonate,ability,Detonate the ship.,ability-detonate,Detonate,fireship_self_detonate,Detonate the ship.,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
5,4,,201563,ab,abbasid,abbasid,ability-golden-age-tier-1-1,Golden Age Tier 1,ability,+15% Resource Gathering Rate,ability-golden-age-tier-1,Golden Age Tier 1,golden_age_tier_1,+15% Resource Gathering Rate,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
6,5,,201593,ab,abbasid,abbasid,ability-golden-age-tier-2-1,Golden Age Tier 2,ability,+15% Research Speed,ability-golden-age-tier-2,Golden Age Tier 2,golden_age_tier_2,+15% Research Speed,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
7,6,,201595,ab,abbasid,abbasid,ability-golden-age-tier-3-1,Golden Age Tier 3,ability,"+20% Production Speed, additional +5% Research Speed, additional +5% Resource Gathering Rate",ability-golden-age-tier-3,Golden Age Tier 3,golden_age_tier_3,"+20% Production Speed, additional +5% Research Speed, additional +5% Resource Gathering Rate",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
8,7,,1838842,ab,abbasid,abbasid,ability-house-of-wisdom-influence-1,House of Wisdom Influence,ability,"Buildings within influence gain +5 Fire Armor.
Structures built within House of Wisdom influence area help progress to the Golden Age and unlock additional bonuses.",ability-house-of-wisdom-influence,House of Wisdom Influence,how_influence_abb,"Buildings within influence gain +5 Fire Armor.
Structures built within House of Wisdom influence area help progress to the Golden Age and unlock additional bonuses.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
9,8,,2101656,ab,abbasid,abbasid,ability-man-the-sails-1,Man The Sails,ability,"Activate to move 40% faster for 10 seconds, deactivates early when dealing damage.",ability-man-the-sails,Man The Sails,naval_man_the_sails,"Activate to move 40% faster for 10 seconds, deactivates early when dealing damage.",1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
10,9,,201837,ab,abbasid,abbasid,ability-medical-centers-1,Medical Centers,ability,Heals nearby units for +2 health every 1 second,ability-medical-centers,Medical Centers,medical_centers_abb,Heals nearby units for +2 health every 1 second,1,,0.0,0.0,0.0,0.0,,0.0,0.0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
