id,IDGameTime,TotalSecond,Second,Minute,Hour,5Minute,1Minute,2Minute,10Minute,Timestamp,Aoe4AnalyticsGameVersion,Aoe4ReplayApiVersion,Aoe4ReplayApiBuild,Aoe4WorldAppVersion,Aoe4WorldAppDataChecksum,Aoe4WorldMajorVersion,Aoe4WorldDataRepositoryGitCommitHash
1,0,0,0,0,0,0,0,0,0,0001-01-01 00:00:00,,,,,,,
2,1,1,1,0,0,0,0,0,0,0001-01-01 00:00:01,,,,,,,
3,2,2,2,0,0,0,0,0,0,0001-01-01 00:00:02,,,,,,,
4,3,3,3,0,0,0,0,0,0,0001-01-01 00:00:03,,,,,,,
5,4,4,4,0,0,0,0,0,0,0001-01-01 00:00:04,,,,,,,
6,5,5,5,0,0,0,0,0,0,0001-01-01 00:00:05,,,,,,,
7,6,6,6,0,0,0,0,0,0,0001-01-01 00:00:06,,,,,,,
8,7,7,7,0,0,0,0,0,0,0001-01-01 00:00:07,,,,,,,
9,8,8,8,0,0,0,0,0,0,0001-01-01 00:00:08,,,,,,,
10,9,9,9,0,0,0,0,0,0,0001-01-01 00:00:09,,,,,,,
11,10,10,10,0,0,0,0,0,0,0001-01-01 00:00:10,,,,,,,
12,11,11,11,0,0,0,0,0,0,0001-01-01 00:00:11,,,,,,,
13,12,12,12,0,0,0,0,0,0,0001-01-01 00:00:12,,,,,,,
14,13,13,13,0,0,0,0,0,0,0001-01-01 00:00:13,,,,,,,
15,14,14,14,0,0,0,0,0,0,0001-01-01 00:00:14,,,,,,,
16,15,15,15,0,0,0,0,0,0,0001-01-01 00:00:15,,,,,,,
17,16,16,16,0,0,0,0,0,0,0001-01-01 00:00:16,,,,,,,
18,17,17,17,0,0,0,0,0,0,0001-01-01 00:00:17,,,,,,,
19,18,18,18,0,0,0,0,0,0,0001-01-01 00:00:18,,,,,,,
20,19,19,19,0,0,0,0,0,0,0001-01-01 00:00:19,,,,,,,
21,20,20,20,0,0,0,0,0,0,0001-01-01 00:00:20,,,,,,,
22,21,21,21,0,0,0,0,0,0,0001-01-01 00:00:21,,,,,,,
23,22,22,22,0,0,0,0,0,0,0001-01-01 00:00:22,,,,,,,
24,23,23,23,0,0,0,0,0,0,0001-01-01 00:00:23,,,,,,,
25,24,24,24,0,0,0,0,0,0,0001-01-01 00:00:24,,,,,,,
26,25,25,25,0,0,0,0,0,0,0001-01-01 00:00:25,,,,,,,
27,26,26,26,0,0,0,0,0,0,0001-01-01 00:00:26,,,,,,,
28,27,27,27,0,0,0,0,0,0,0001-01-01 00:00:27,,,,,,,
29,28,28,28,0,0,0,0,0,0,0001-01-01 00:00:28,,,,,,,
30,29,29,29,0,0,0,0,0,0,0001-01-01 00:00:29,,,,,,,
