id,IDBuilding,NormalizedId,PBGID,CivilizationAbbreviation,CivilizationSlug,CivilizationAttributeName,ObjectId,ObjectName,ObjectNameType,ObjectDescription,BaseId,Name,AttributeName,Description,AvaiableAgeId,Hitpoints,Food,Gold,Wood,Stone,AgeId,VizierPoint,OliveOil,Total,Supply,Armor,Weapon,Aoe4AnalyticsGameVersion,Aoe4ReplayApiVersion,Aoe4ReplayApiBuild,Aoe4WorldAppVersion,Aoe4WorldAppDataChecksum,Aoe4WorldMajorVersion,Aoe4WorldDataRepositoryGitCommitHash
1,0,,199645,ab,abbasid,abbasid,archery-range-2,Archery Range,building,Produces ranged infantry units.,archery-range,Archery Range,building_unit_ranged_control_abb,Produces ranged infantry units.,2,1500,0,0,150,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
2,1,,199643,ab,abbasid,abbasid,barracks-1,Barracks,building,Produces melee infantry units.,barracks,Barracks,building_unit_infantry_control_abb,Produces melee infantry units.,1,1500,0,0,150,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
3,2,,199637,ab,abbasid,abbasid,blacksmith-2,Blacksmith,building,Houses technology to improve infantry and cavalry.,blacksmith,Blacksmith,building_tech_unit_infantry_control_abb,Houses technology to improve infantry and cavalry.,2,1500,0,0,150,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
4,3,,199640,ab,abbasid,abbasid,capital-town-center-1,Capital Town Center,building,"All Resources can be dropped off here. Produces Villagers, Scouts, and increases your maximum Population. Adds additional attacks while garrisoned.
Capital Town Centers can detect units stealth or disguises.",capital-town-center,Capital Town Center,building_town_center_capital_abb,"All Resources can be dropped off here. Produces Villagers, Scouts, and increases your maximum Population. Adds additional attacks while garrisoned.
Capital Town Centers can detect units stealth or disguises.",1,7000,0,0,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
5,4,,199644,ab,abbasid,abbasid,dock-1,Dock,building,"Produces naval units.
Automatically repairs nearby damaged naval units.
Capable of holding up to three Fishing Ships.",dock,Dock,building_unit_naval_abb,"Produces naval units.
Automatically repairs nearby damaged naval units.
Capable of holding up to three Fishing Ships.",1,1750,0,0,75,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
6,5,,199636,ab,abbasid,abbasid,farm-1,Farm,building,"Harvestable Food source. Use a Villager to gather Food from the Farm.
Only one Villager can work each Farm.",farm,Farm,building_resource_farm_control_abb,"Harvestable Food source. Use a Villager to gather Food from the Farm.
Only one Villager can work each Farm.",1,300,0,0,75,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
7,6,,199635,ab,abbasid,abbasid,house-1,House,building,Increases your maximum Population.,house,House,building_house_control_abb,Increases your maximum Population.,1,750,0,0,50,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
8,7,,199772,ab,abbasid,abbasid,house-of-wisdom-2,House of Wisdom,building,"Contains civilization technology for the Abbasid Dynasty.
Abbasids advance in Ages through the House of Wisdom. Construct wings to advance to the next Age and gain additional technology.",house-of-wisdom,House of Wisdom,building_house_of_wisdom_control_abb,"Contains civilization technology for the Abbasid Dynasty.
Abbasids advance in Ages through the House of Wisdom. Construct wings to advance to the next Age and gain additional technology.",2,2000,0,0,50,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
9,8,,199622,ab,abbasid,abbasid,keep-3,Keep,building,Heavy garrison and defensible position. Can be upgraded with weaponry. Adds additional attacks while garrisoned.,keep,Keep,building_defense_keep_control_abb,Heavy garrison and defensible position. Can be upgraded with weaponry. Adds additional attacks while garrisoned.,3,5000,0,0,0,900,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
10,9,,199634,ab,abbasid,abbasid,lumber-camp-1,Lumber Camp,building,Villagers can drop off Wood at this building. Houses technologies to improve Wood gathering.,lumber-camp,Lumber Camp,building_econ_wood_control_abb,Villagers can drop off Wood at this building. Houses technologies to improve Wood gathering.,1,750,0,0,50,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
11,10,,199639,ab,abbasid,abbasid,madrasa-4,Madrasa,building,Houses advanced technology that benefit the civilization.,madrasa,Madrasa,building_tech_university_control_abb,Houses advanced technology that benefit the civilization.,4,2100,0,0,450,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
12,11,,199632,ab,abbasid,abbasid,market-2,Market,building,Allows the buying and selling of resources and produces the Trader.,market,Market,building_econ_market_control_abb,Allows the buying and selling of resources and produces the Trader.,2,1000,0,0,100,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
13,12,,199631,ab,abbasid,abbasid,mill-1,Mill,building,"Villagers can drop off Food at this building. Houses technologies to improve Food gathering.
Constructing the Mill near Berry Bushes increases the amount of Food available by +100.",mill,Mill,building_econ_food_control_abb,"Villagers can drop off Food at this building. Houses technologies to improve Food gathering.
Constructing the Mill near Berry Bushes increases the amount of Food available by +100.",1,750,0,0,50,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
14,13,,199633,ab,abbasid,abbasid,mining-camp-1,Mining Camp,building,Villagers can drop off Stone and Gold at this building. Houses technologies to improve mining.,mining-camp,Mining Camp,building_econ_mining_camp_control_abb,Villagers can drop off Stone and Gold at this building. Houses technologies to improve mining.,1,750,0,0,50,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
15,14,,199646,ab,abbasid,abbasid,mosque-3,Mosque,building,"Produces religious units and houses religious technologies. Starting in the Castle Age (III), religious units can pick up Relics and place them in this building to generate Gold.",mosque,Mosque,building_unit_religious_control_abb,"Produces religious units and houses religious technologies. Starting in the Castle Age (III), religious units can pick up Relics and place them in this building to generate Gold.",3,2100,0,0,200,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
