id,IDEventType,EventKey,EventCategory,EventSubcategory,PBGID,CivilizationAttributeName,Aoe4AnalyticsGameVersion,Aoe4ReplayApiVersion,Aoe4ReplayApiBuild,Aoe4WorldAppVersion,Aoe4WorldAppDataChecksum,Aoe4WorldMajorVersion,Aoe4WorldDataRepositoryGitCommitHash
1,0,Action,castleAge,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
2,1,Action,castleAge,,,abbasid_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
3,2,Action,castleAge,,,byzantine,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
4,3,Action,castleAge,,,chinese_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
5,4,Action,castleAge,,,english,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
6,5,Action,castleAge,,,french,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
7,6,Action,castleAge,,,french_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
8,7,Action,castleAge,,,hre_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
9,8,Action,castleAge,,,japanese,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
10,9,Action,castleAge,,,mongol,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
11,10,Action,castleAge,,,sultanate,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
12,11,Action,feudalAge,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
13,12,Action,feudalAge,,,abbasid_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
14,13,Action,feudalAge,,,byzantine,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
15,14,Action,feudalAge,,,chinese_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
