id,IDObjectType,PBGID,Category,SubCategory,Religious,Infantry,Cavalry,Villager,Siege,Ranged,Melee,Military,Civilian,Unit,Building,Technology,Ability,Gunpowder,Camel,Archer,Ship,Incendiary,Springald,Warship,Khaganate,Mixed,Elephand,Battle,Monk,Hero,Force,Aoe4AnalyticsGameVersion,Aoe4ReplayApiVersion,Aoe4ReplayApiBuild,Aoe4WorldAppVersion,Aoe4WorldAppDataChecksum,Aoe4WorldMajorVersion,Aoe4WorldDataRepositoryGitCommitHash
1,0,2135959,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
2,1,134916,Building,N/A,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
3,2,5278895,Building,N/A,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
4,3,202453,Ability,N/A,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
5,4,166274,Building,N/A,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
6,5,133429,Building,N/A,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
7,6,2099938,Ability,N/A,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
8,7,2101764,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
9,8,217078,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
10,9,205552,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
11,10,205811,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
12,11,130999,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
13,12,182077,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
14,13,191287,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
15,14,2033826,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
16,15,2059527,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
17,16,2127520,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
18,17,2141112,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
19,18,2141110,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
20,19,2141106,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
21,20,2141108,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
22,21,2141121,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
23,22,2141119,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
24,23,2141115,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
25,24,2141117,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
26,25,200775,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
27,26,2146135,Ability,N/A,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
28,27,200138,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
29,28,2073116,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
30,29,220924,Technology,N/A,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
31,30,188268,Technology,N/A,0,0,0,0,0,1,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
32,31,188365,Technology,N/A,0,0,0,0,0,1,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
33,32,188371,Technology,N/A,0,0,0,0,0,1,0,0,1,0,0,1,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
34,33,2101236,Building,N/A,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
35,34,132231,Unit,N/A,0,1,0,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
36,35,2121101,Unit,N/A,0,1,0,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
37,36,129582,Unit,N/A,0,1,0,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
38,37,132269,Unit,N/A,0,1,0,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
39,38,133452,Unit,N/A,0,1,0,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,,0
