id,IDTechnology,NormalizedId,PBGID,CivilizationAbbreviation,CivilizationSlug,CivilizationAttributeName,ObjectId,ObjectName,ObjectNameType,ObjectDescription,BaseId,Name,AttributeName,Description,AvaiableAgeId,Hitpoints,Food,Gold,Wood,Stone,AgeId,VizierPoint,OliveOil,Total,Supply,Armor,Weapon,Aoe4AnalyticsGameVersion,Aoe4ReplayApiVersion,Aoe4ReplayApiBuild,Aoe4WorldAppVersion,Aoe4WorldAppDataChecksum,Aoe4WorldMajorVersion,Aoe4WorldDataRepositoryGitCommitHash
1,0,,130999,ab,abbasid,abbasid,adjustable-crossbars-4,Adjustable Crossbars,technology,"Increases Mangonel range by +1, blast radius by +100%, and adds +1 projectile to attacks.",adjustable-crossbars,Adjustable Crossbars,upgrade_siege_adjustable_crossbar,"Increases Mangonel range by +1, blast radius by +100%, and adds +1 projectile to attacks.",4,,0,1200,1000,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
2,1,,200775,ab,abbasid,abbasid,agriculture-3,Agriculture,technology,Improve Villagers' gathering rate from Farms by +15%.,agriculture,Agriculture,upgrade_econ_agriculture_abb,Improve Villagers' gathering rate from Farms by +15%.,3,,0,200,75,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
3,2,,188268,ab,abbasid,abbasid,angled-surfaces-4,Angled Surfaces,technology,Increase the ranged armor of all non-siege units by +1.,angled-surfaces,Angled Surfaces,upgrade_ranged_armor_iii,Increase the ranged armor of all non-siege units by +1.,4,,0,350,150,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
4,3,,201746,ab,abbasid,abbasid,armored-caravans-2,Armored Caravans,technology,Grant +3 armor to Traders and Trade Ships.,armored-caravans,Armored Caravans,upgrade_trade_trader_armor_abb,Grant +3 armor to Traders and Trade Ships.,2,,0,75,25,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
5,4,,196879,ab,abbasid,abbasid,armored-hull-3,Armored Hull,technology,Increase the health of all military ships by +20% and ranged armor by +1.,armored-hull,Armored Hull,upgrade_naval_armored_hull,Increase the health of all military ships by +20% and ranged armor by +1.,3,,150,350,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
6,5,,127325,ab,abbasid,abbasid,arrowslits-2,Arrowslits,technology,Add defensive arrowslits to this structure and increase garrison arrow range by +1. Only one weapon emplacement can be added.,arrowslits,Arrowslits,upgrade_outpost_arrowslits,Add defensive arrowslits to this structure and increase garrison arrow range by +1. Only one weapon emplacement can be added.,2,,0,25,0,50,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
7,6,,188270,ab,abbasid,abbasid,balanced-projectiles-3,Balanced Projectiles,technology,Increase the ranged damage of all arrows and bolts by +1.,balanced-projectiles,Balanced Projectiles,upgrade_ranged_damage_ii,Increase the ranged damage of all arrows and bolts by +1.,3,,0,250,100,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
8,7,,127850,ab,abbasid,abbasid,biology-4,Biology,technology,Investing in natural sciences increases the health of all cavalry by +30%.,biology,Biology,upgrade_tech_university_biology,Investing in natural sciences increases the health of all cavalry by +30%.,4,,500,1000,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
9,8,,187694,ab,abbasid,abbasid,bloomery-2,Bloomery,technology,Increase the melee damage of all non-siege units by +1.,bloomery,Bloomery,upgrade_melee_damage_i,Increase the melee damage of all non-siege units by +1.,2,,50,125,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
10,9,,128447,ab,abbasid,abbasid,boiling-oil-3,Boiling Oil,technology,Towers and Keeps gain a boiling oil attack against nearby units that deals 30 damage.,boiling-oil,Boiling Oil,upgrade_tech_university_murder_holes_4,Towers and Keeps gain a boiling oil attack against nearby units that deals 30 damage.,3,,0,500,0,200,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
11,10,,200220,ab,abbasid,abbasid,boot-camp-2,Boot Camp,technology,Increase the health of all infantry by +15%.,boot-camp,Boot Camp,upgrade_mil_camel_archers_improved_weapon_abb,Increase the health of all infantry by +15%.,2,,50,125,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
12,11,,200063,ab,abbasid,abbasid,camel-handling-3,Camel Handling,technology,Increase the movement speed of camel units by +15%.,camel-handling,Camel Handling,upgrade_camel_speed_boost_abb,Increase the movement speed of camel units by +15%.,3,,75,200,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
13,12,,200370,ab,abbasid,abbasid,camel-rider-barding-4,Camel Rider Barding,technology,Increase the armor of Camel Riders by +2.,camel-rider-barding,Camel Rider Barding,upgrade_camel_armor_abb,Increase the armor of Camel Riders by +2.,4,,100,225,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
14,13,,200252,ab,abbasid,abbasid,camel-rider-shields-3,Camel Rider Shields,technology,"Grant Camel Riders shields, improving their melee armor by +3.",camel-rider-shields,Camel Rider Shields,upgrade_mil_mameluke_shields_abb,"Grant Camel Riders shields, improving their melee armor by +3.",3,,75,200,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
15,14,,200768,ab,abbasid,abbasid,camel-support-4,Camel Support,technology,Camels increase the armor of nearby infantry by +2.,camel-support,Camel Support,upgrade_mil_camel_support_abb,Camels increase the armor of nearby infantry by +2.,4,,300,700,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
16,15,,185626,ab,abbasid,abbasid,cannon-emplacement-4,Cannon Emplacement,technology,Add a defensive cannon emplacement to this structure.,cannon-emplacement,Cannon Emplacement,upgrade_keep_cannon,Add a defensive cannon emplacement to this structure.,4,,0,125,0,375,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
17,16,,124734,ab,abbasid,abbasid,chemistry-4,Chemistry,technology,Advancements in alchemical research increase the bonus damage of all gunpowder siege weapons by +25%.,chemistry,Chemistry,upgrade_siege_chemistry,Advancements in alchemical research increase the bonus damage of all gunpowder siege weapons by +25%.,4,,200,650,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
18,17,,200372,ab,abbasid,abbasid,composite-bows-3,Composite Bows,technology,Increase the attack speed of Archers by +33%.,composite-bows,Composite Bows,upgrade_mameluke_damage_abb,Increase the attack speed of Archers by +33%.,3,,0,350,150,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
19,18,,128427,ab,abbasid,abbasid,court-architects-4,Court Architects,technology,Patronage of the finest builders increases all building health by +30%.,court-architects,Court Architects,upgrade_tech_university_architecture_4,Patronage of the finest builders increases all building health by +30%.,4,,0,700,0,300,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
20,19,,171837,ab,abbasid,abbasid,crosscut-saw-4,Crosscut Saw,technology,Increase Villagers' gathering rate for Wood by 15% and Wood gatherers carry capacity by +5.,crosscut-saw,Crosscut Saw,upgrade_econ_resource_wood_harvest_rate_4,Increase Villagers' gathering rate for Wood by 15% and Wood gatherers carry capacity by +5.,4,,250,500,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
21,20,,2033115,ab,abbasid,abbasid,culture-wing-1,Culture Wing,technology,"The following cultural technologies become available:
• Preservation of Knowledge (Age II)
• Medical Centers (Age III)
• Public Libraries (Age IV)",culture-wing,Culture Wing,upgrade_add_culture_wing,"The following cultural technologies become available:
• Preservation of Knowledge (Age II)
• Medical Centers (Age III)
• Public Libraries (Age IV)",1,,400,200,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
22,21,,171824,ab,abbasid,abbasid,cupellation-4,Cupellation,technology,Gold gatherers drop off 15% more resources.,cupellation,Cupellation,upgrade_econ_resource_gold_harvest_rate_4,Gold gatherers drop off 15% more resources.,4,,0,500,250,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
23,22,,188010,ab,abbasid,abbasid,damascus-steel-4,Damascus Steel,technology,Increase the melee damage of all non-siege units by +1.,damascus-steel,Damascus Steel,upgrade_melee_damage_iii,Increase the melee damage of all non-siege units by +1.,4,,150,350,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
24,23,,187997,ab,abbasid,abbasid,decarbonization-3,Decarbonization,technology,Increase the melee damage of all non-siege units by +1.,decarbonization,Decarbonization,upgrade_melee_damage_ii,Increase the melee damage of all non-siege units by +1.,3,,100,250,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
25,24,,128070,ab,abbasid,abbasid,double-broadax-2,Double Broadax,technology,Increase Villagers' gathering rate for Wood by 15%.,double-broadax,Double Broadax,upgrade_econ_resource_wood_harvest_rate_2,Increase Villagers' gathering rate for Wood by 15%.,2,,50,100,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
26,25,,2033746,ab,abbasid,abbasid,drift-nets-3,Drift Nets,technology,"Increase the gathering rate of Fishing Ships by +10%, carry capacity by +20 and move speed by +10%.",drift-nets,Drift Nets,upgrade_econ_drift_nets,"Increase the gathering rate of Fishing Ships by +10%, carry capacity by +20 and move speed by +10%.",3,,0,350,150,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
27,26,,2033116,ab,abbasid,abbasid,economic-wing-1,Economic Wing,technology,"Constructs the Economic Wing.
The following economic technologies become available:
• Fertile Crescent (Age II)
• Agriculture (Age III)
• Improved Processing (Age IV)",economic-wing,Economic Wing,upgrade_add_economy_wing,"Constructs the Economic Wing.
The following economic technologies become available:
• Fertile Crescent (Age II)
• Agriculture (Age III)
• Improved Processing (Age IV)",1,,400,200,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
