id,IDUnit,NormalizedId,PBGID,CivilizationAbbreviation,CivilizationSlug,CivilizationAttributeName,ObjectId,ObjectName,ObjectNameType,ObjectDescription,BaseId,Name,AttributeName,Description,AvaiableAgeId,Hitpoints,Food,Gold,Wood,Stone,AgeId,VizierPoint,OliveOil,Total,Supply,Armor,Weapon,Aoe4AnalyticsGameVersion,Aoe4ReplayApiVersion,Aoe4ReplayApiBuild,Aoe4WorldAppVersion,Aoe4WorldAppDataChecksum,Aoe4WorldMajorVersion,Aoe4WorldDataRepositoryGitCommitHash
1,0,,199706,ab,abbasid,abbasid,archer-2,Archer,unit,"Cheap ranged infantry with good damage vs. unarmored targets.
+ High rate of fire
- Weak against armored targets
- Countered by Horsemen",archer,Archer,unit_archer_2_abb,"Cheap ranged infantry with good damage vs. unarmored targets.
+ High rate of fire
- Weak against armored targets
- Countered by Horsemen",2,70.0,30,0,50,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
2,1,,199707,ab,abbasid,abbasid,archer-3,Veteran Archer,unit,"Cheap ranged infantry with good damage vs. unarmored targets.
+ High rate of fire
- Weak against armored targets
- Countered by Horsemen",archer,Veteran Archer,unit_archer_3_abb,"Cheap ranged infantry with good damage vs. unarmored targets.
+ High rate of fire
- Weak against armored targets
- Countered by Horsemen",3,80.0,30,0,50,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
3,2,,199708,ab,abbasid,abbasid,archer-4,Elite Archer,unit,"Cheap ranged infantry with good damage vs. unarmored targets.
+ High rate of fire
- Weak against armored targets
- Countered by Horsemen",archer,Elite Archer,unit_archer_4_abb,"Cheap ranged infantry with good damage vs. unarmored targets.
+ High rate of fire
- Weak against armored targets
- Countered by Horsemen",4,95.0,30,0,50,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
4,3,,199725,ab,abbasid,abbasid,baghlah-2,Baghlah,unit,"Ship equipped with broadside ballistae.
+ Strong against Arrow Ships
- Lower maneuverability",baghlah,Baghlah,unit_naval_combat_ship_2_abb,"Ship equipped with broadside ballistae.
+ Strong against Arrow Ships
- Lower maneuverability",2,450.0,110,30,200,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
5,4,,2108168,ab,abbasid,abbasid,battering-ram-1,Battering Ram,unit,"Durable infantry transport effective against buildings and walls.
+ High ranged armor
+ High health
- Takes bonus damage from melee attacks
- Can only attack buildings
- Slow movement speed",battering-ram,Battering Ram,unit_workshop_ram_3_abb,"Durable infantry transport effective against buildings and walls.
+ High ranged armor
+ High health
- Takes bonus damage from melee attacks
- Can only attack buildings
- Slow movement speed",1,370.0,0,0,200,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
6,5,,199999,ab,abbasid,abbasid,camel-archer-2,Camel Archer,unit,"Highly mobile and durable ranged unit.
+Bonus damage vs Spearmen
-High cost",camel-archer,Camel Archer,unit_camel_archer_2_abb,"Highly mobile and durable ranged unit.
+Bonus damage vs Spearmen
-High cost",2,150.0,170,0,60,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
7,6,,200000,ab,abbasid,abbasid,camel-archer-3,Veteran Camel Archer,unit,"Highly mobile and durable ranged unit.
+Bonus damage vs Spearmen
-High cost",camel-archer,Veteran Camel Archer,unit_camel_archer_3_abb,"Highly mobile and durable ranged unit.
+Bonus damage vs Spearmen
-High cost",3,175.0,170,0,60,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
8,7,,200001,ab,abbasid,abbasid,camel-archer-4,Elite Camel Archer,unit,"Highly mobile and durable ranged unit.
+Bonus damage vs Spearmen
-High cost",camel-archer,Elite Camel Archer,unit_camel_archer_4_abb,"Highly mobile and durable ranged unit.
+Bonus damage vs Spearmen
-High cost",4,200.0,170,0,60,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
9,8,,200051,ab,abbasid,abbasid,camel-rider-3,Camel Rider,unit,"Highly mobile and durable melee unit effective against all cavalry.
+Bonus damage to cavalry
+Causes enemy cavalry to deal less damage
-High cost",camel-rider,Camel Rider,unit_camel_rider_3_abb,"Highly mobile and durable melee unit effective against all cavalry.
+Bonus damage to cavalry
+Causes enemy cavalry to deal less damage
-High cost",3,270.0,130,45,45,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
10,9,,200052,ab,abbasid,abbasid,camel-rider-4,Elite Camel Rider,unit,"Highly mobile and durable melee unit effective against all cavalry.
+Bonus damage to cavalry
+Causes enemy cavalry to deal less damage
-High cost",camel-rider,Elite Camel Rider,unit_camel_rider_4_abb,"Highly mobile and durable melee unit effective against all cavalry.
+Bonus damage to cavalry
+Causes enemy cavalry to deal less damage
-High cost",4,320.0,130,45,45,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
